0.000000000,Silence
0.263038548,Acoustic Guitar
16.263786848,Acoustic Voice 
58.554195011,Metal Intro
74.892403628,Main Riff
102.627528344,Main Riff
116.266598639,Pre-verse
136.978548752,Verse
157.689410430,Verse
178.120702947,Verse
198.872222222,Post-verse
228.487913832,Pre-chorus
250.671927437,Chorus
261.898140589,Chorus
273.074716553,Lead Break
287.025034013,Lead Break
300.817233560,Dawn Arrived
315.664807256,Arab
352.671700680,Arab Hits
370.214943310,Metal Hits
384.478163265,Invocation
398.862811791,Invocation
413.205895691,Metal Hits
427.500907029,Verse
447.884648526,Prog Verse
466.788594104,Post-prog Verse
485.747573696,Riding
495.450589569,Metal Riding
509.298503401,Bass Solo
530.009750566,Lead Guitars
547.480952380,Arab Lead Guitars
563.465328798,Prog Bridge
567.200612244,Nu Metal
595.461156462,Lead Nu Metal
613.100793650,Pre-chorus
624.475873015,Pre-chorus
635.652131519,Chorus
657.891564625,Post-chorus
680.442675736,Main Riff
681.970068027,Lead Arab Guitar
704.489637188,Guitar Break
715.200385487,Guitar Solo 1
725.833083900,Guitar Solo 2
736.400793650,Guitar Solo 1
746.831904761,Guitar Solo 2
757.111383219,Pre-Coda
770.983628117,Coda
784.457142857,Coda
797.968934240,Coda
811.417482993,Coda
819.974965986,Screams
843.320226757,Main Riff
844.976417233,Outro
852.870680272,Acoustic Guitar
869.142585034,Acoustic Voice 
910.070884353,Wind
921.485850340,Silence
925.108004535,End
